CH1,CH2,CH27,CH28
8.058609773,5.500291656,122.4546495,-41.65383947
3.572862889,0.396394119,113.9065188,-40.90745997
-3.608517194,15.91461826,105.4526751,-40.03141913
-4.643553307,3.847809793,93.10902474,-39.74694569
-8.561040148,3.509580176,82.42055344,-39.12796168
-18.93909757,8.486429013,71.6878107,-37.56353594
-4.948956299,-7.482150278,84.95195163,-38.97728268
7.308106124,-8.153716454,84.95646093,-38.72600932
-5.73458968,11.97042905,81.26026447,-38.52586344
-1.122811153,3.558290999,72.31568537,-36.48317845
-0.313559792,-2.819943218,65.62877795,-34.19021228
-15.23461023,6.084787193,56.1212686,-35.08571269
-10.89140969,-4.330537061,46.94294484,-33.10965658
-14.03102674,-13.20894214,42.78062449,-32.54190189
-13.63940312,-1.398187872,54.82734312,-30.60737077
-8.142926541,-1.652305339,55.57868856,-28.79982462
-10.59229035,1.228491056,56.0199834,-25.99074113
-14.28022361,3.06781425,47.11884387,-24.88599852
-8.949919195,-8.907501137,41.27761481,-23.85774922
-25.22187934,2.636710778,31.12391044,-20.14255333
-28.5787894,0.290583426,23.62443995,-19.33729472
-41.11549312,-2.822885575,19.77030964,-17.7786266
-26.80592684,-15.71305382,35.20141615,-17.85741972
-20.01782868,-9.579103113,35.33354512,-17.92720389
-17.80965578,-7.007522708,36.43426571,-17.33702343
-8.495899623,-20.38751603,31.19197781,-15.28208304
-24.96756755,-7.465632667,23.49830138,-12.39857548
-31.80149722,-13.05917482,15.59077428,-11.31777868
-42.8142127,-17.75430828,7.045372935,-9.812729236
-50.52944092,-20.37226254,5.622273926,-9.303921375
-50.70109179,-15.54136302,20.76282622,-8.853072286
-40.6010511,-14.19244469,19.93557867,-7.281406715
-45.75514707,-4.267945047,22.64575384,-6.513238997
-43.01449728,-9.751068266,18.44969104,-6.27562912
-40.45487988,-14.0953624,11.5859043,-3.589385905
-46.67088211,-17.86329055,7.895256518,-3.187186358
-53.82507594,-14.65887341,-1.89521508,1.139519666
-64.32836963,-13.21921626,-2.70695584,1.692890374
-56.69584764,-18.79561094,13.58794615,1.108865602
-46.86687669,-11.5480357,16.78725285,2.094067918
-54.05529739,-3.874551404,18.98761972,1.672252086
-42.18967675,-13.79511585,12.58081,2.93192615
-44.93498905,-17.13183598,8.023689319,4.830037881
-52.08372524,-16.57571629,2.59880614,6.852516941
-64.74975671,-8.13670472,-6.786396702,7.364574546
-62.86615208,-20.30574552,-7.591944336,6.774213682
-52.22371856,-18.24461849,7.68498654,7.862087655
-48.80799446,-16.41740434,15.74904049,8.380074304
-43.31143308,-17.49280573,20.45721566,8.966884985
-42.11013719,-13.65901736,14.28974338,9.780795752
-46.50650779,-10.46197691,13.24823274,11.05710175
-44.24347239,-15.73648742,10.41748961,11.38320269
-57.78284723,-1.803927467,5.99375826,11.17422083
-62.17443093,-5.173346683,1.946332763,12.79321581
-60.45362045,-2.086812677,26.68804901,10.21522946
-45.95778481,-2.670670417,35.24730899,11.28456692
-41.24675009,5.341194961,41.03361707,12.94408013
-38.94907614,12.44635225,40.59848886,11.21876671
-39.16047012,11.18676719,40.38903219,13.67870311
-43.48422924,15.91711571,39.22795398,13.03729213
-46.98439381,16.48686586,37.46160218,12.92708958
-45.71523522,6.864745392,43.02687713,13.44900263
-37.85341056,19.88529022,63.12946278,12.0213127
-30.33030798,18.92458096,72.98095079,11.89501252
-14.13690113,13.007881,81.89896081,12.06157032
-17.21393243,18.47146798,81.82215944,13.22912194
-13.39782391,16.18989189,88.64367344,9.312394936
-17.11504786,21.02876956,89.39967789,7.306079957
-23.27275222,23.71488638,90.78532012,6.5543935
-27.09743841,25.4242769,96.88502394,5.612304863
-9.748263141,18.92742974,119.7251067,4.527985215
2.424519813,17.45863797,132.1037794,1.704575937
16.78549585,5.857113057,139.2639517,-0.493639147
3.989199285,25.38827634,139.7553183,-2.426836928
10.58409873,16.18148158,144.2000364,-6.790998291
15.16545634,9.347999873,142.5941938,-8.411835609
8.461004336,2.105948561,139.371636,-10.10564532
7.287018663,-1.431115675,136.5469546,-11.79028618
-3.156472725,0.23567284,155.9011841,-13.2081157
9.07660363,11.83136461,165.1643612,-16.44267877
17.07189031,7.791233028,165.868724,-16.55672571
22.67102958,3.922683452,166.2359243,-19.30954534
22.23391623,-0.177983174,159.5717289,-20.59817901
8.761657232,9.417966093,152.8430258,-19.92134013
10.71764682,-0.73347715,145.5642471,-20.75990342
-3.626969294,1.625012893,136.4342667,-23.00420333
-6.055034167,-16.54038516,144.0756081,-23.38092218
0.737481243,-3.253046949,151.1685574,-24.49896112
6.052861655,0.349830178,147.6715714,-24.34489516
3.688429699,-1.290037779,141.9363328,-22.87362557
4.431554319,-3.549598745,134.1670498,-23.77448155
1.170139532,-6.898188675,121.3614529,-20.75066145
-11.98501777,1.350093677,113.8261637,-22.26861984
-16.72890756,-7.941287335,101.9598809,-20.28546325
-23.59930408,-14.40928383,110.7608744,-20.20375518
-7.258780097,-9.152528414,112.9133929,-19.60036772
2.844602099,-15.16661291,107.416206,-16.41712915
-7.397617615,-7.543152789,101.1873849,-15.85960648
-6.703995948,-6.045040333,92.0404227,-15.38812691
-11.36005728,-6.280841654,82.46620154,-12.93142726
-25.97866533,-1.870569706,72.28725554,-11.62634082
-28.46840417,-7.171970342,59.99981898,-9.34792241
-40.97665196,-6.660890609,61.2935823,-8.987596292
-29.34542926,-4.721169345,71.93093363,-9.353417311
-17.67389756,-4.771042819,71.82934409,-8.747413808
-14.12676328,-5.807509319,68.26774904,-6.311450168
-10.93464125,-9.948158037,61.54445326,-5.638838586
-15.37677764,-13.84921286,54.25857715,-3.891192517
-22.11205585,-12.17365612,44.71067216,-1.322050459
-31.41638478,-10.97694078,35.40290873,-0.159672338
-44.81369458,-10.71492916,26.42576769,0.794512986
-42.89518846,-20.67417884,42.58605213,0.644949543
-29.73513081,-14.5327497,45.14873719,1.629478239
-29.25724718,-10.73590999,45.32451645,0.963960684
-25.45855782,-11.18320697,37.62201033,4.166774378
-22.87647149,-18.22029418,32.63978527,3.762137438
